Kernel configuration subsytem:attributes	Kernel configurations	Key Configuration Dependencies : notes 	Architecture Dependencies	Safety Default Setting	Description	Related CVEs	Related ExploitDB Scripts	Weaknesses/ Limitations	Supported Kernel Versions	General Guidelines	Performance Impact	Suggested for Instance Types	Kernel doc references
Kernel memory:  Enable traceability:	CONFIG_PROC_KCORE	!ARM, PROC_FS, MMU, CRASH_CORE	Not supported by ARM, enabling this setting requires support for procfs and MMU	N	Disable kernel debugging features.  Provides a virtual ELF core file of the live kernel, which can then be read using gdb and other ELF tools.  However, no modifications can be made using this feature.			Safety mechanisms which rely on PROC_KCORE for kernel debugging will not allow this to be disabled in production systems.	2.6.27–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Kernel debugging features which allow manipulation of kernel in production systems should not be supported by unprivileged users.			link
Kernel memory:  Enable traceability:	CONFIG_ELF_CORE	COREDUMP	Requires architecture support for core dumps and expert kernel features	Y	Support generation of core dumps			Core dumps are fundamental tools for fault handling.	2.6.16–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Enabling this feature adds about 4K to system footprint.   Focus on safety requirements for core dumps			link
Kernel memory:  Enable traceability:	CONFIG_PROC_PAGE_MONITOR	PROC_FS, MMU	Requires architecture support for procfs, MMU and expert kernel features	Y	Monitor process memory utilizaiton			Monitoring interfaces for process memory utilization are fundamental tools for fault handling.	2.6.25–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Enabling this feature adds about 4K to system footprint.			link
Kernel memory:  Enable traceability:	CONFIG_FTRACE_SYSCALLS	HAVE_SYSCALL_TRACEPOINTS, GENERIC_TRACER, KALLSYMS	Requires architecture support for hooks to trace syscall entry/exit.	Y	Enable basic tracer to catch syscall entry & exit events			Potential performance impact	2.6.30–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Most relevant for development analysis, and should be disabled in production system.			link
Kernel memory:  Enable traceability:	CONFIG_KALLSYMS	None	Enabling this setting requires architecture support for expert kernel features.	N	Disable kernel debugging features.  Enabling this feature loads debug symbols				2.5.45-2.5.75, 2.6.20–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Kernel debugging features which allow manipulation of kernel in production systems should not be supported by unprivileged users. In use cases where KALLSYMS cannot be disabled, /proc/sys/kernel/kptr_restrict can be set to 2 which blocks output of kernel points (kernel points printed using %pK will be replaced with 0's, for privileged as well as unprivileged users). 			https://lwn.net/Articles/420403/
Watchdog, sysctl, debug: kernel mode lockup	CONFIG_SOFTLOCKUP_DETECTOR	DEBUG_KERNEL, !S390, LOCKUP_DETECTOR		Y	Enable kernel to act as a watchdog to detect soft lockups (bugs that cause the kernel to loop in kernel mode for more than 20 seconds, without giving other tasks a chance to run).				4.13–4.20, 5.0–5.17				link
Watchdog, sysctl, debug: kernel mode lockup	CONFIG_DETECT_HUNG_TASK	DEBUG_KERNEL, SOFTLOCKUP_DETECTOR		Y	Enable kernel to detect "hung tasks" (bugs that cause the task to be stuck in uninterruptible state indefinitely).				2.6.30–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Watchdog, sysctl, debug: kernel mode lockup	CONFIG_WQ_WATCHDOG			Y	Enable stall detection on workqueues				4.5–4.20, 5.0–5.17				link
Watchdog, sysctl, debug: kernel mode lockup	CONFIG_KCSAN			Y	Dynamic Analysis			https://www.kernel.org/doc/html/latest/dev-tools/kcsan.html	5.8–5.17				link
Watchdog, sysctl, debug: kernel mode lockup	CONFIG_PROVE_LOCKING			Y	Enable kernel to report locking related deadlocks before they actually occur				2.6.18–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_DEBUG_RT_MUTEXES			Y	Allows rt mutex semantics violations and rt mutex related deadlocks to be detected and reported automatically				2.6.18–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_DEBUG_NOTIFIERS			Y	Notification chains are used by Linux kernel to allow different subsystems to subscribe on asynchronous events from other subsystems.  The purpose is to enable independent subsystems to communicate and align, it is used for communication within the kernel only.  The notification chains are a list of callback functions which are executed when an event occurs. This configuration setting provides sanity checks on notifier chains.  It is most useful for kernel developers.				2.6.29–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17	Since this is executed as a one time check on kernel boot, there is negligible expected performance impact			link
Locking, debug: RT mutexes	CONFIG_LOCK_STAT			Y	Enable tracking lock contention points, by collecting lock usage statistics				2.6.23–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_DEBUG_SPINLOCK			Y	Spinlock and rw-lock debugging, basic checks.  Build SMP to catch missing spinlock initialization and certain other kinds of spinlock errors commonly made				2.5.45-2.5.75, 2.6.0–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_DEBUG_MUTEXES			Y	Mutex debugging, apply basic checks.  Allows mutex semantics violations to be detected and reported.				2.6.16–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_DEBUG_WW_MUTEX_SLOWPATH			Y	Wait/wound mutex debugging, slowpath testing				3.11–3.19, 4.0–4.20, 5.0–5.17	Significant performance impact.  Should only be used by driver developers.			link
Locking, debug: RT mutexes	CONFIG_DEBUG_LOCK_ALLOC			Y	Lock debugging: detect incorrect freeing of live locks				2.6.18–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_DEBUG_LOCKING_API_SELFTESTS			Y	Locking API boot-time self-tests				2.6.18–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_LOCK_TORTURE_TEST			Y	Torture tests for locking			The kernel module may be built after the fact on the running kernel to be tested, if desired.	3.15–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_WW_MUTEX_SELFTEST			Y	Wait/wound mutext selftests			Recommended to enable DEBUG_WW_MUTEX_SLOWPATH in conjunction with this test harness	4.11–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_RCU_TORTURE_TEST			Y	Torture tests for RCU			The kernel module may be built after the fact on the running kernel to be tested, if desired.	2.6.15-2.6.39, 3.0-3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_DEBUG_ATOMIC_SLEEP			Y	Check sleep inside atomic section.				3.1–3.19, 4.0–4.20, 5.0–5.17				link
Locking, debug: RT mutexes	CONFIG_SIGNALFD			Y	Allows signals to be received on a file descriptor fixes signal race conditions. pidfd_send_signal() enables signaling a process through a pidfd to eliminate the PID wrap resulting in sending signals to a wrong process.				2.6.22–2.6.39, 3.0–3.19, 4.0–4.20, 5.0–5.17				link
Memory: Branch Target Buffer: Side Channel Attacks	CONFIG_PAGE_TABLE_ISOLATION			Y	CONFIG_PAGE_TABLE_ISOLATION mode enableds _pgd_alloc() alloc 8kb, two page tables at a time, of not configured, 4kb, one page table is alloced at a time.	whether the arch is vulnerable to meltdown alike attacks				Anlaysis for attack interfaces and whether they are vulnerable to meltdown attacks to decide whether to enable this configuration.			link
Memory: Branch Target Buffer: Side Channel Attacks	CONFIG_RETPOLINE			Y	BTB stores some parts of the bits of PC, not the full bits of PC. Using this primitive, an attacker is able to inject an indirect branch target into the BTB, and consequently run some codes in a speculative context. It can leak a sensitive data across some boundaries. (e.g. between VMs, Processes, ...) The attack is called Spectre Variant2. and retpoline has been introducted to stop the attack.					Anlaysis for architectures (AMD is not known to this till now, however this situation might change in future) and whether they are vulnerable to Spectre Variant2 attacks to decide whether to enable this configuration. 			link
Memory: Branch Target Buffer: Side Channel Attacks	UNMAP_KERNEL_AT_EL0		Supported by ARM only	Y	Unmap kernel when running in userspace (aka \"KAISER\")					Consider this when design and use ARM CPU.			link
Memory: Branch Target Buffer: Side Channel Attacks	HARDEN_BRANCH_PREDICTOR			Y	Harden the branch predictor against aliasing attacks					Anlaysis for architectures (AMD is not known to this till now, however this situation might change in future) and whether they are vulnerable to Spectre Variant2 attacks to decide whether to enable this configuration. 			link
Memory: Branch Target Buffer: Side Channel Attacks	HARDEN_EL2_VECTORS			Y	Harden EL2 vector mapping against system register leak					Anlaysis for architectures (AMD is not known to this till now, however this situation might change in future) and whether they are vulnerable to Spectre Variant2 attacks to decide whether to enable this configuration. 			link
Memory: Branch Target Buffer: Side Channel Attacks	ARM64_SSBD		Supported by ARM only	Y	Speculative Store Bypass Disable					Anlaysis for architectures (AMD is not known to this till now, however this situation might change in future) and whether they are vulnerable to Spectre Variant2 attacks to decide whether to enable this configuration. 			link
Memory: Branch Target Buffer: Side Channel Attacks	CONFIG_BPF_UNPRIV_DEFAULT_OFF			N	Disable unprivileged BPF by default					Based on whether the system is locked down, and if there are unprevileged BPF code allowed.			link
Code integrity: Live Patch	LIVEPATCH	DYNAMIC_FTRACE_WITH_REGS || DYNAMIC_FTRACE_WITH_ARGS, MODULES, SYSFS, KALLSYMS_ALL, HAVE_LIVEPATCH, !TRIM_UNUSED_KSYMS		N	Livepatch is a feature that applies kernel patches without any system reboot					For safety concern, N for default, because we don't know if the patch is secure or not, if the patch is from a trusted source, and we need to have full knowlege of  the patch to enabled this. If enabled, we need a syslog for what are introduced by the new patch.			link
